French,Turkish
partie,parça
histoire,tarih
chercher,aramak
seulement,sadece
police,polis
pensais,düşünce
aide,yardım
demande,rica etmek
genre,cinsiyet
mois,ay
frère,Erkek kardeş
laisser,ayrılmak 
car,Çünkü
mettre,koymak
aucun,hiçbiri
laisse,yalnız bırak
eux,onlara
ville,şehir
chaque,her biri
parlé,konuşmak
arrivé,ulaşmış
devrait,yapmalı
bébé,Bebek
longtemps,uzun zaman
heures,saat
vont,gidiyor
pendant,sırasında
revoir,Güle güle
aucune,hiçbiri
place,yer
parle,konuşmak
compris,Anlaşıldı
savais,biliyordum
étaient,vardı
attention,dikkat
voici,işte burada
pourrais,olabilir
affaire,mesele
donner,vermek
type,tür
leurs,onların
donné,verildi
train,tren
corps,vücut
endroit,yer
yeux,gözler
façon,yol
écoute,Dinlemek
dont,hangisinin
trouve,bulmak
premier,Birinci
perdu,kayıp
main,el
première,Birinci
côté,taraf
pouvoir,güç
vieux,eskimiş
sois,olmak
tiens,tutmak
matin,Sabah
tellement,çok
enfant,çocuk
point,nokta
venu,gelmek
suite,takip etme
pardon,bağışlamak
venez,Gelmek
devant,önde
vers,karşı
minutes,dakika
demandé,rica etmek
chambre,yatak odası
mis,koymak
belle,Güzel
droit,Sağ
aimerais,isterim
aujourd'hui,Bugün
mari,koca
cause,neden
enfin,Nihayet
espère,umut
eau,su
attendez,Beklemek
parti,parti
nouvelle,yeni
boulot,iş
arrêter,Durmak
dirait,derdim
terre,toprak
compte,hesap
donne,verildi
loin,uzak
fin,SON
croire,inanmak
chérie,Canım
gros,yağ
plutôt,yerine
aura,sahip olacak
filles,kızlar
jouer,oynamak
bureau,çalışma masası
